,GEO,Gender,Age group,VALUE
93,Prairies and Northwest Territories Region,"Not stated, gender",60 to 69 years,60
94,Prairies and Northwest Territories Region,"Not stated, gender",70 to 79 years,15
95,Prairies and Northwest Territories Region,"Not stated, gender",80 years and over,9
96,Quebec Region,Female,0 to 19 years,306414
97,Quebec Region,Female,20 to 29 years,319953
98,Quebec Region,Female,30 to 39 years,328782
99,Quebec Region,Female,40 to 49 years,318870
100,Quebec Region,Female,50 to 59 years,251382
101,Quebec Region,Female,60 to 69 years,144588
102,Quebec Region,Female,70 to 79 years,105333
103,Quebec Region,Female,80 years and over,169410
104,Quebec Region,Male,0 to 19 years,302388
105,Quebec Region,Male,20 to 29 years,225108
106,Quebec Region,Male,30 to 39 years,218877
107,Quebec Region,Male,40 to 49 years,216501
108,Quebec Region,Male,50 to 59 years,194256
109,Quebec Region,Male,60 to 69 years,136458
110,Quebec Region,Male,70 to 79 years,107241
111,Quebec Region,Male,80 years and over,107418
112,Quebec Region,"Not stated, gender",0 to 19 years,1110
113,Quebec Region,"Not stated, gender",20 to 29 years,1134
114,Quebec Region,"Not stated, gender",30 to 39 years,906
115,Quebec Region,"Not stated, gender",40 to 49 years,633
116,Quebec Region,"Not stated, gender",50 to 59 years,405
117,Quebec Region,"Not stated, gender",60 to 69 years,195
118,Quebec Region,"Not stated, gender",70 to 79 years,96
119,Quebec Region,"Not stated, gender",80 years and over,39
