"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-02-13,16200,2438,13746,,504598,321882,141743,360278,180139,
2021-02-14,12874,917,11925,,517472,322751,130717,384068,192034,
2021-02-15,7859,483,7328,,525331,323186,123850,398672,199336,
2021-02-16,5990,1040,4900,,531321,324183,119970,408426,204213,
2021-02-17,10160,1604,8522,,541481,325743,113036,425414,212707,
2021-02-18,13866,2952,10870,,555347,328647,105100,447094,223547,
2021-02-19,18486,6212,12207,,573833,334807,99084,471446,235723,
2021-02-20,22621,11129,11440,,596454,345873,98748,494250,247125,
2021-02-21,17232,10377,6821,,613686,356190,102286,507808,253904,
2021-02-22,13576,8750,4775,,627262,364870,106241,517258,258629,
2021-02-23,17855,11119,6665,,645117,375933,110675,530516,265258,
2021-02-24,18564,13605,4878,,663681,389482,119388,540188,270094,
2021-02-25,20801,16485,4259,,684482,405901,131596,548610,274305,
2021-02-26,24882,21827,2995,,709364,427668,150405,554526,277263,
2021-02-27,27449,23573,3835,,736813,451177,170127,562100,281050,
2021-02-28,20578,19139,1405,,757391,470262,187849,564826,282413,
2021-03-01,18214,17021,1148,,775605,487221,203707,567028,283514,
2021-03-02,24672,22269,2319,,800277,509429,223642,571574,285787,
