"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2020-12-19,"Adults_18plus",3354,0,0,0,12076175,.0003,.0000,.0000
2020-12-19,"Ontario_12plus",3356,0,0,0,13038032,.0003,.0000,.0000
2020-12-19,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-20,"12-17yrs",2,0,0,0,961857,.0000,.0000,.0000
2020-12-20,"18-29yrs",336,0,0,0,2454802,.0001,.0000,.0000
2020-12-20,"30-39yrs",669,0,0,0,2077137,.0003,.0000,.0000
2020-12-20,"40-49yrs",761,0,0,0,1855340,.0004,.0000,.0000
2020-12-20,"50-59yrs",960,0,0,0,2019276,.0005,.0000,.0000
2020-12-20,"60-69yrs",589,0,0,0,1813493,.0003,.0000,.0000
2020-12-20,"70-79yrs",85,0,0,0,1181151,.0001,.0000,.0000
2020-12-20,"80+",10,0,0,0,674976,.0000,.0000,.0000
2020-12-20,"Adults_18plus",3410,0,0,0,12076175,.0003,.0000,.0000
2020-12-20,"Ontario_12plus",3412,0,0,0,13038032,.0003,.0000,.0000
2020-12-20,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-21,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-21,"18-29yrs",348,0,0,0,2454802,.0001,.0000,.0000
2020-12-21,"30-39yrs",698,0,0,0,2077137,.0003,.0000,.0000
2020-12-21,"40-49yrs",775,0,0,0,1855340,.0004,.0000,.0000
2020-12-21,"50-59yrs",977,0,0,0,2019276,.0005,.0000,.0000
2020-12-21,"60-69yrs",593,0,0,0,1813493,.0003,.0000,.0000
2020-12-21,"70-79yrs",87,0,0,0,1181151,.0001,.0000,.0000
2020-12-21,"80+",10,0,0,0,674976,.0000,.0000,.0000
2020-12-21,"Adults_18plus",3488,0,0,0,12076175,.0003,.0000,.0000
2020-12-21,"Ontario_12plus",3491,0,0,0,13038032,.0003,.0000,.0000
2020-12-21,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-22,"12-17yrs",3,0,0,0,961857,.0000,.0000,.0000
2020-12-22,"18-29yrs",470,0,0,0,2454802,.0002,.0000,.0000
2020-12-22,"30-39yrs",866,0,0,0,2077137,.0004,.0000,.0000
2020-12-22,"40-49yrs",927,0,0,0,1855340,.0005,.0000,.0000
2020-12-22,"50-59yrs",1211,0,0,0,2019276,.0006,.0000,.0000
2020-12-22,"60-69yrs",719,0,0,0,1813493,.0004,.0000,.0000
2020-12-22,"70-79yrs",113,0,0,0,1181151,.0001,.0000,.0000
2020-12-22,"80+",11,0,0,0,674976,.0000,.0000,.0000
2020-12-22,"Adults_18plus",4317,0,0,0,12076175,.0004,.0000,.0000
2020-12-22,"Ontario_12plus",4320,0,0,0,13038032,.0003,.0000,.0000
